Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Elastic Load Balancing,0,71.78,861.36,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,16039.6,192475.2,USD,"Quantity (5), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2000 GB), Instance type (db.m5.8xlarge), Additional backup storage (10000 GB)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,2986.56,35838.72,USD,"Operating system (Linux), Quantity (16), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5.2xlarge)"
My Estimate,US East (N. Virginia),,S3 Standard,0,25.7,308.4,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Not selected (0 TB per month) 
, DT Outbound: Not selected (0 TB per month) 
"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,515.7,6188.4,USD,Number of NAT Gateways (2)
,,,,,,,,
,,,,,,,,
,,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
The higher budget means that we can afford more redundancy in the system. The first change that I would make is change the RDS instance to a multi availability zone configuration. I would also introduce another read replica to reduce the load on a master instance. The next change is to get more EC2 instance for the auto scaling groups of web and app servers. The two auto scaling groups would be reconfigured to span the same availability zones as per new RDS configuration. This set of changes would make disaster recovery very quick in case of loss of availability zone.,,,,,,,,
,,,,,,,,
